issue,candidate,reaction_count,reaction_score,favorable_count,neutral_count,critical_count,basis,confidence,reaction_share,summary_period,data_type,note
GTX,오세훈,1800,50.5,587,932,281,"GTX-D 연장, GTX-A 패스·광역철도 언급 기반",중간,45.0,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
GTX,정원오,2200,50.2,694,1149,357,"GTX-D 연장, GTX-A 패스·광역철도 언급 기반",중간,55.0,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
교통,오세훈,5200,53.6,1978,2515,707,"정원오 30분 통근·동부선, 오세훈 교통 대동맥 보도 기반",높음,45.6,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
교통,정원오,6200,53.6,2521,2934,745,"정원오 30분 통근·동부선, 오세훈 교통 대동맥 보도 기반",높음,54.4,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
도시개발,오세훈,5000,49.8,1124,1991,1885,"공간대전환, 용산, 감사의 정원, 광화문 공간 논란 기반",높음,54.3,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
도시개발,정원오,4200,50.3,1312,1854,1034,"공간대전환, 용산, 감사의 정원, 광화문 공간 논란 기반",높음,45.7,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
재개발,오세훈,4800,52.8,1343,2065,1392,"착착개발, 쾌속통합, 신통AI기획 기반",높음,57.8,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
재개발,정원오,3500,50.7,1112,1496,892,"착착개발, 쾌속통합, 신통AI기획 기반",높음,42.2,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
주거,오세훈,5300,53.1,1375,2178,1747,"36만호·31만호, 공급 속도전, 전월세 이슈 기반",높음,53.0,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
주거,정원오,4700,51.0,1383,1918,1399,"36만호·31만호, 공급 속도전, 전월세 이슈 기반",높음,47.0,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
지하화,오세훈,1700,50.5,548,879,273,"경부선 지하화, 지하도시고속도로 기반",중간,39.5,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
지하화,정원오,2600,53.0,929,1305,366,"경부선 지하화, 지하도시고속도로 기반",중간,60.5,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
청년정책,오세훈,2200,50.7,848,996,356,"X/SNS 확산, 청년수당·청년문화 정책 노출 기반",낮음~중간,46.8,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
청년정책,정원오,2500,53.0,1034,1094,372,"X/SNS 확산, 청년수당·청년문화 정책 노출 기반",낮음~중간,53.2,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
한강,오세훈,4200,49.6,990,1645,1565,"한강버스·한강 프로젝트 노출, 관련 비판·방어 반응 기반",중간,67.7,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
한강,정원오,2000,49.1,546,776,678,"한강버스·한강 프로젝트 노출, 관련 비판·방어 반응 기반",중간,32.3,7d,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
