date,datetime,candidate,issue,source,source_label,reaction_type,title,summary,count,confidence,data_type,note
2026-05-12,2026-05-12 20:13,오세훈,도시개발,comment,광화문 공간 댓글,비판,감사의 정원 논란,비용·조형물·공공공간 적합성 관련 비판 표현 증가,3900,중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 14:14,오세훈,도시개발,news,준공식 발언 보도,우호,감사의 정원 취지 설명,자유·평화·헌신 기억 공간이라는 설명 보도,900,중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 11:10,정원오,지하화,news,공간대전환 기사,중립,경부선 지하화,"5도심·6광역, GTX 연계, 경부선 지하화 보도",2900,높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 10:57,오세훈,한강,comment,댓글,비판,오세훈 한강 공개 반응 샘플,"한강버스, 한강 프로젝트 키워드를 중심으로 한 공개 온라인 반응 데모용 근거 샘플입니다. 실제 원문 링크는 제공하지 않습니다.",85,중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 10:57,정원오,한강,comment,댓글,중립,정원오 한강 공개 반응 샘플,"한강버스 중단, 안전점검 키워드를 중심으로 한 공개 온라인 반응 데모용 근거 샘플입니다. 실제 원문 링크는 제공하지 않습니다.",42,중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 10:54,오세훈,재개발,news,뉴스,중립,오세훈 재개발 공개 반응 샘플,"쾌속통합, 신통AI기획 키워드를 중심으로 한 공개 온라인 반응 데모용 근거 샘플입니다. 실제 원문 링크는 제공하지 않습니다.",93,높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 10:53,정원오,재개발,news,뉴스,중립,정원오 재개발 공개 반응 샘플,"착착개발, 공공재개발 키워드를 중심으로 한 공개 온라인 반응 데모용 근거 샘플입니다. 실제 원문 링크는 제공하지 않습니다.",90,높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 10:49,정원오,교통,news,뉴스,우호,정원오 교통 공개 반응 샘플,"30분 통근, 동부선, 강북횡단선 키워드를 중심으로 한 공개 온라인 반응 데모용 근거 샘플입니다. 실제 원문 링크는 제공하지 않습니다.",83,높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 10:47,정원오,GTX,news,뉴스,우호,정원오 GTX 공개 반응 샘플,"GTX-D, 광역철도 키워드를 중심으로 한 공개 온라인 반응 데모용 근거 샘플입니다. 실제 원문 링크는 제공하지 않습니다.",57,중간,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
2026-05-12,2026-05-12 10:45,오세훈,주거,news,뉴스,비판,오세훈 주거 공개 반응 샘플,"31만호, 쾌속 공급 키워드를 중심으로 한 공개 온라인 반응 데모용 근거 샘플입니다. 실제 원문 링크는 제공하지 않습니다.",91,높음,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
